"<PER>Lamarre</PER>, <ACT>clerc de notaire</ACT>, <SPAT><LOC>rue galite</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamarre</PER>, <ACT>carrier</ACT>, <SPAT><LOC>rue mouffelard</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamare</PER> , <ACT>notaire</ACT>, <SPAT><LOC>rue du faubourg honore</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamarck</PER>, <ACT>membre de l&apos;institut</ACT>, <SPAT><LOC>quatrieme municipalit</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamarche</PER>, <ACT>geographe</ACT>, <SPAT><LOC>rue du foin</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamarche</PER>, <ACT>marchand de vin</ACT>, <SPAT><LOC>rue lazare</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamande fils</PER>, <ACT>ingenieur</ACT>, <SPAT><LOC>rue belle-chasse</LOC></SPAT>", "Notables_communaux_seine_1801"
"<PER>Lamalmaison</PER>, <ACT>homme de loi</ACT>, <SPAT><LOC>rue jean-pain-mollet</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamalle</PER>, <ACT>defenseur officieux</ACT>, <SPAT><LOC>rue de l&apos;ichelle</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamaille</PER>, <ACT>marchand</ACT>, <SPAT><LOC>rue montorgueil</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamaigueres</PER>, <ACT>employe</ACT>, <SPAT><LOC>avenue de neuilly</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lamaigniere</PER>, <DESC><ACT>juge de paix</ACT> a chaillot</DESC>, <SPAT><LOC>premiere municipalite</LOC></SPAT>.", "Notables_communaux_seine_1801"
"<PER>Lalouette</PER>, <ACT>employe</ACT>, <SPAT><LOC>rue honore</LOC></SPAT>.", "Notables_communaux_seine_1801"
